dataset,model,prompt,trait,n,qwk,kendall_tau,kendall_w,pearson,r2_score,rmse,bias,std_human,std_llm,exact_match_rate,within_0.5_rate,within_1.0_rate,len_bias_delta,spearman,mae,len_corr_human,len_corr_llm
ASAP_2_Final_github_test,meta.llama3-1-70b-instruct-v1:0,Guidelines,score,7398,0.5109087690170483,0.5054165357678327,0.7929246749033906,0.6057854713285564,0.19160874777931924,0.9120191111764719,-0.41511219248445524,1.0144309489217471,0.7046597384144926,0.17004595836712624,0.6335496080021628,0.8133279264666126,-0.2711471197281539,0.5858493498067812,0.7220870505542039,0.7510561881600892,0.4799090684319353
ASAP_2_Final_github_test,meta.llama3-1-70b-instruct-v1:0,Keywords,score,7419,0.5809195214495158,0.5041773613197036,0.7840371703747244,0.5874340889588118,0.2547980591107635,0.8752178016337053,-0.07265130071438199,1.0139310547277651,0.8914804038915386,0.46111335759536326,0.46111335759536326,0.9292357460574201,-0.28898735842077616,0.5680743407494487,0.6126162555600485,0.7505770775964532,0.46158971917567704
ASAP_2_Final_github_test,meta.llama3-1-8b-instruct-v1:0,Guidelines,score,7419,0.3698345639572652,0.5015257364082705,0.7838464647477229,0.5779107805237401,-0.07666300380810886,1.0526476737016304,-0.6485375387518534,1.0145475606831118,0.5413638473951637,0.13600215662488205,0.5573527429572719,0.7204474996630273,-0.2417044603516021,0.5676929294954458,0.8473513950667206,0.7511226448257046,0.5094181844741025
ASAP_2_Final_github_test,meta.llama3-1-8b-instruct-v1:0,Keywords,score,7421,0.45894720099994146,0.5312512561278016,0.8013837183895347,0.607115606268922,0.1857586122647994,0.9155670577988845,-0.4319498719849077,1.0147120893530566,0.5754997088922548,0.24834927907290122,0.5770111844764857,0.8276512599380137,-0.19541927506967016,0.6027674367790693,0.7048241476889907,0.7510405666789063,0.5556212916092361
ASAP_2_Final_github_test,openai.gpt-oss-120b-1:0,Guidelines,score,7421,0.10696949857314086,0.45299614239829955,0.7521472643313092,0.49842155541673605,-1.8888340711344687,1.724546346062355,-1.475946637919418,1.0147120893530566,0.35778236186764945,0.061986255221668236,0.22638458428783184,0.3886268696941113,-0.38019703459825904,0.5042945286626185,1.4927907290122624,0.7510405666789063,0.37084353208064724
ASAP_2_Final_github_test,openai.gpt-oss-120b-1:0,Keywords,score,7421,0.2931656083780626,0.41879160738713445,0.7309596555159819,0.47514154253287316,-0.23917964522542756,1.129485622391833,-0.6897318420698019,1.0147120893530566,0.5362251962347379,0.3518393747473386,0.36396712033418677,0.8184880743835062,-0.3802225355191045,0.46191931103196376,0.8407896509904326,0.7510405666789063,0.3708180311598018
ASAP_2_Final_github_test,openai.gpt-oss-20b-1:0,Guidelines,score,7417,0.12975334652336035,0.4427482198858176,0.7510513038177972,0.5024041726748858,-1.8043821339973163,1.6989039920394127,-1.4527436969124983,1.0145641678663118,0.42978090548568637,0.07307536739921801,0.20911419711473642,0.4302278549278684,-0.3610197128727401,0.5021026076355943,1.468113792638533,0.7509014457738358,0.3898817329010957
ASAP_2_Final_github_test,openai.gpt-oss-20b-1:0,Keywords,score,7419,0.25471449301828153,0.45285820515447756,0.7558926790678806,0.5132556453926421,-1.006204365006011,1.4368238812099805,-1.1321606685537133,1.0144840498640175,0.6779170076705627,0.19544412993664914,0.22509772206496834,0.6657231432807657,-0.3331871745483537,0.5117853581357612,1.1767758458013209,0.7509013372019927,0.417714162653639
ASAP_2_Final_github_train,meta.llama3-1-405b-instruct-v1:0,Keywords,score,17307,0.5916254792191653,0.5448013301061384,0.8081572588846068,0.6268893442503412,0.18824756599890546,0.9413984304192075,-0.34332928872710466,1.0448987683689852,0.980088209582912,0.43427514878372914,0.43427514878372914,0.9035072514011672,-0.2134748809019218,0.6163145177692135,0.6684000693361067,0.6900348867544471,0.47656000585252534
ASAP_2_Final_github_train,meta.llama3-1-405b-instruct-v1:0,Guidelines,score,17307,0.4964383674195596,0.5240615966890138,0.8051363726298837,0.6225904984477107,0.00825212799931474,1.0405484551049387,-0.6213670769052985,1.0448987683689852,0.8181101991870983,0.14664586583463338,0.5653203905934016,0.7432830646559195,-0.21369093548706358,0.6102727452597673,0.8295487375050558,0.6900348867544471,0.47634395126738355
ASAP_2_Final_github_train,meta.llama3-1-70b-instruct-v1:0,Keywords,score,17301,0.609018160711789,0.5349184332597512,0.8014700098311094,0.6145243176910568,0.3053060505960168,0.8700954347342273,-0.04207849257268366,1.0439571746127745,0.9191381421347595,0.474596844113057,0.474596844113057,0.9305242471533437,-0.21570626558567063,0.6029400196622187,0.5995029189064216,0.6893972597135266,0.473690994127856
ASAP_2_Final_github_train,meta.llama3-1-70b-instruct-v1:0,Guidelines,score,17253,0.5424568642477392,0.5293302521366171,0.8065411681111088,0.6251218874031993,0.2577739883160908,0.8996157657875055,-0.37326841708688346,1.0442429673250644,0.7282461708023351,0.17556367008636178,0.6542050657856605,0.8213064394598041,-0.20169121447741456,0.6130823362222174,0.7059062192082536,0.6900449558353138,0.4883537413578992
ASAP_2_Final_github_train,meta.llama3-1-8b-instruct-v1:0,Guidelines,score,17300,0.3739480852004208,0.5187630866678529,0.7944631814180321,0.584077364007125,-0.060884460636568605,1.0760799119389846,-0.6606936416184971,1.0447756262442458,0.5622935394971285,0.12884393063583816,0.5533526011560693,0.7127167630057804,-0.1883765197426106,0.5889263628360641,0.8643352601156069,0.6903119239518555,0.5019354042092449
